,rand_layer,pearson,ssim,spearman,action
0,1,0.26805918389572225,0.7040013175455221,0.10768470490716217,5
1,2,0.17464434887525593,0.6294595299528097,0.010789653513922332,5
2,3,0.09228274538801226,0.6182757080767479,0.16760746236311763,5
3,4,0.13970010206230182,0.5788847772592985,0.11474057082989553,5
4,5,0.029104595220823315,0.6097851732280177,0.09120376772281164,5
5,1,0.2556304473855131,0.6957127445775146,0.15156208626041123,5
6,2,0.20945355030843799,0.6332766146677701,0.009053874490622272,5
7,3,0.09716998328736073,0.6093901319273841,0.20689781493012252,5
8,4,0.11443260320889106,0.5821459363362962,0.08178835152057086,5
9,5,0.052580275294446824,0.6069559881515507,0.11706292183769239,5
10,1,0.26518720682456526,0.6964152414462214,0.16368263767174915,5
11,2,0.20441021163589296,0.6326996486100553,0.01449225464464528,5
12,3,0.1062242648443513,0.6080557029856962,0.2107703927584718,5
13,4,0.13070792247878033,0.588276916943324,0.07108652276333989,5
14,5,0.05393009044049995,0.6039943120715243,0.15509805979117924,5
15,1,0.259341916511184,0.702571404646347,0.1454966275322253,5
16,2,0.17605377965728852,0.6231823260239936,0.01500026935894798,5
17,3,0.11301190603594508,0.6118661750673581,0.17763171695249544,5
18,4,0.13832752408759058,0.5806749735636757,0.09099369747045687,5
19,5,0.03368831390510971,0.6046958524159307,0.14205559526890446,5
20,1,0.2663589346054137,0.7115121368737071,0.13370015378377018,5
21,2,0.17388077578184147,0.6267337993365709,0.010951167802623434,5
22,3,0.11217846888482202,0.6179377814400276,0.15953361550279524,5
23,4,0.14309065197226872,0.5812195655229018,0.10979642815846007,5
24,5,0.027281175022274874,0.6115959529741324,0.10320119242917904,5
25,1,0.2627328133541387,0.7039525810395114,0.15058508927491995,5
26,2,0.2080936276557695,0.6316220555194328,0.011378913779171133,5
27,3,0.11256695659093284,0.6133135977168641,0.20645242036041345,5
28,4,0.10005128299245733,0.5880131410960637,0.09101044615226472,5
29,5,0.058407556811353456,0.6106347636600782,0.1327789750218658,5
30,1,0.2587952324462851,0.6940536039720014,0.16445141594455434,5
31,2,0.20076197438925095,0.6246336767036271,0.023386818504712067,5
32,3,0.11199275210691842,0.6091095817216708,0.19805304278995542,5
33,4,0.1043705437964148,0.5836525482495367,0.08051771991319796,5
34,5,0.0602579447228436,0.6025591245392057,0.1822988926410586,5
35,1,0.2665027554572356,0.7107306478064369,0.1650910285379669,5
36,2,0.2110096174038775,0.6297395638878794,0.017811521268035427,5
37,3,0.10516992331876476,0.6162798658818017,0.20095320410202117,5
38,4,0.11918311579714905,0.5941597668560952,0.0687346402969406,5
39,5,0.049500809683890395,0.6116057420721851,0.16653723176042928,5
40,1,0.265950541176642,0.7080105963560387,0.15989918520907376,5
41,2,0.2183459360928855,0.629554147845977,0.01790727835130218,5
42,3,0.09708258461548785,0.6141523654341303,0.2064010588339304,5
43,4,0.11293681218642729,0.5906389943829035,0.07289261587624017,5
44,5,0.046757156039875715,0.6126232135489899,0.12024141815771283,5
45,1,0.25846441718224505,0.7250606534499261,0.1296655848580476,5
46,2,0.18618356952946918,0.6316326910938722,0.006783543946161264,5
47,3,0.10956976181854342,0.6224337894861511,0.17550563530955385,5
48,4,0.13612128911153604,0.5899839780693648,0.11254452368506725,5
49,5,0.03246335701137711,0.6186732971767124,0.11585830150718252,5
50,1,0.2763783006275746,0.7376935075862262,0.12327676628074408,5
51,2,0.17543351991226064,0.6370413892683624,0.002289384817693828,5
52,3,0.1191483672199697,0.6282038181767476,0.1649179947286285,5
53,4,0.14629465447796627,0.5995393171344751,0.11955952414338605,5
54,5,0.017212535162327982,0.6260294141206588,0.13368322080944625,5
55,1,0.28481409265537916,0.737626563069823,0.029277986267206874,5
56,2,0.17200853244936515,0.663421758691592,0.003151837436154867,5
57,3,0.14346446341427946,0.636174665506245,0.1475948817698702,5
58,4,0.1522061472259224,0.5976484175701717,0.16709939982256042,5
59,5,-0.0028174801356170634,0.6216574840994478,0.06440562750753295,5
60,1,0.30879259943462123,0.6945605149377281,0.505821272219106,16
61,2,0.13476398258750216,0.6537472310122416,0.2894420150608708,16
62,3,0.1320296334734924,0.6295700881620229,0.11503140486360441,16
63,4,0.011727435713903316,0.6544848989229448,0.09690520642839986,16
64,5,0.09398424814686215,0.5791512866321633,0.1441509747354689,16
65,1,0.19283458635183404,0.7036876658382264,0.13814809296628888,9
66,2,0.03424520571763961,0.646726643571313,0.10894714096807338,9
67,3,0.1808824343353051,0.531194061663796,0.15622271751521588,9
68,4,0.10948414268434091,0.6170790547285842,0.030033490284597692,9
69,5,0.14578179145126588,0.5912668967963438,0.20553856435122422,9
70,1,0.29981614497310677,0.7990357767100571,0.4575935226390998,16
71,2,0.13463563135579903,0.6581692376054225,0.22497649147662133,16
72,3,0.11800890564407333,0.6777673943961415,0.030406055660849734,16
73,4,0.01573425420400803,0.6756445713862803,0.004683913745584915,16
74,5,0.08732020638908991,0.658794151735577,0.06502656169766459,16
75,1,0.3097594345108865,0.8138704580139655,0.49100698023179323,16
76,2,0.22245274417815886,0.7263977460037152,0.2409577100693923,16
77,3,0.12353229908237812,0.6761988304308808,0.01197141373210394,16
78,4,0.07450428157578545,0.6918832033137275,0.015078985280341484,16
79,5,0.10301819850731203,0.6864033331269614,0.12551448048729955,16
80,1,0.304950069434787,0.8309022247571373,0.4131379397613708,16
81,2,0.16612824354586112,0.7403121497757043,0.29950672990127164,16
82,3,0.11684329462800416,0.7084283415867119,0.05914935355758775,16
83,4,0.02191533786946389,0.6987511061485705,0.007849727417587122,16
84,5,0.05427599865979554,0.7040622150765684,0.22135810091401026,16
85,1,0.32871425279614036,0.7164850461192404,0.34836253631251635,16
86,2,0.18537035945648875,0.7328044950471198,0.26137216210310754,16
87,3,0.0981128402855502,0.6552100989838596,0.07930041375744937,16
88,4,0.09216804717255206,0.6397738603263821,0.04815226855951453,16
89,5,0.13035855650174608,0.628737269985963,0.2259956235822989,16
90,1,0.20266597438052286,0.7194003976158441,0.2579879088490859,9
91,2,0.12121867457858587,0.5707149541153216,0.015002622486048316,9
92,3,0.08441412837376802,0.5151953337928803,0.00959519779950724,9
93,4,0.1544487873761723,0.6489705527120426,0.09421879022413629,9
94,5,0.13134481097998024,0.571459581675423,0.22238863370431178,9
95,1,0.3074729846920857,0.670717435463688,0.32125798796557903,9
96,2,0.1665007764174497,0.6193823302755128,0.1674565850698909,9
97,3,0.18221988529936095,0.6231190545573168,0.2751046161546261,9
98,4,0.08339911887528233,0.6183106624336743,0.014820088521613999,9
99,5,0.046589184733253824,0.6344378023840852,0.2947397260340834,9
100,1,0.2193492641551389,0.5971799939712461,0.21398350297236043,9
101,2,0.15932905870136532,0.5732051504786837,0.1630170842086695,9
102,3,0.1960609796901437,0.6341486612980193,0.276845574224764,9
103,4,0.1157006601617617,0.6320794562807475,0.18376492996331634,9
104,5,0.1349925665204924,0.6029711132325017,0.16980713035990713,9
105,1,0.2841898286014325,0.578046936244338,0.24796708240231283,9
106,2,0.11928299944290065,0.585626055836246,0.05680130108863431,9
107,3,0.20376328494018892,0.5900949417044841,0.2068679752272787,9
108,4,0.15553720621982853,0.6212365973237286,0.08899917936480813,9
109,5,0.08263041901247012,0.6228317957332365,0.29146595107113954,9
110,1,0.6457317485096861,0.7779890658966541,0.7241304410046372,13
111,2,0.18001235187722464,0.631616657796793,0.1523795009215049,13
112,3,0.1443202001206435,0.590079829729418,0.209183874179142,13
113,4,0.2838592795569005,0.6975120570631531,0.5132453267627912,13
114,5,0.1451330091064173,0.621844342223796,0.011355186689983443,13
115,1,0.6410989202590952,0.8315112244888203,0.6720936245749733,13
116,2,0.21998343539043552,0.6409151425560808,0.16717406731147202,13
117,3,0.14204300071077383,0.5862576650620377,0.18753547274611082,13
118,4,0.22768051921887253,0.6496792933385663,0.4928249235855208,13
119,5,0.1319817915493292,0.5365908251831546,0.04151678968563165,13
120,1,0.6893171898443664,0.7720939617434652,0.7853644814980022,13
121,2,0.23735618160675476,0.6359272323106191,0.14937200412557605,13
122,3,0.10265531159613506,0.5804990796158229,0.19271462082452942,13
123,4,0.25037183265252505,0.6688269116212167,0.4550081963323884,13
124,5,0.14134397585726993,0.5404912727207738,0.039103844906822456,13
125,1,0.5799672252419956,0.5107063220605108,0.5437987377709763,13
126,2,0.15030085456432266,0.5789332022453075,0.04673199331751995,13
127,3,0.11768006790956068,0.6965557419604829,0.1034227252840559,13
128,4,0.1787054372146677,0.7000040380747652,0.2947752084732486,13
129,5,0.03605055381911687,0.6099385036848343,0.1173767641879583,13
130,1,0.6304318224728898,0.840423875255844,0.7754291050624845,13
131,2,0.12440782466259509,0.6009630789720574,0.2229966603646019,13
132,3,0.1648605303094472,0.610829867478365,0.010464562469098587,13
133,4,0.09269000188517948,0.6478452583975003,0.15874036908059527,13
134,5,0.02953542992850707,0.5555961085122769,0.1597752001643228,13
135,1,0.5257957298215467,0.8322588489823723,0.7265418532449854,13
136,2,0.0925418306922145,0.6670136834144565,0.1588980144803519,13
137,3,0.06659451707126071,0.6662958295679182,0.05215381610689078,13
138,4,0.04436214755125138,0.6424359607782233,0.07537569418999569,13
139,5,0.046967872402862584,0.6403309706773471,0.09298226731971954,13
140,1,0.3028912353578113,0.8106967053000982,0.5403701979801874,16
141,2,0.20829403967637947,0.7169771348820237,0.4031963661687457,16
142,3,0.10577589476206949,0.7109823711546066,0.0161787614658786,16
143,4,0.0768090989580197,0.694787175340785,0.014800909861410975,16
144,5,0.12798801867262843,0.6570602706126046,0.06703274438281354,16
145,1,0.26374098956692515,0.8274520078353416,0.6418656906664761,16
146,2,0.10191102632252005,0.7525860011772042,0.470014511099491,16
147,3,0.12654856643358492,0.7360559523151489,0.03719545400285754,16
148,4,0.05204791703783931,0.6772914052688744,0.03465148960749675,16
149,5,0.07691631798762213,0.6374532912063445,0.004948002397987481,16
150,1,0.3259214133915614,0.835680959912952,0.5872952378694126,16
151,2,0.10622676462298086,0.7543700367589007,0.4321675346256986,16
152,3,0.038705589869802784,0.7003255425031061,0.0997488738421143,16
153,4,0.05885781085001518,0.7038326974595687,0.01710018081234475,16
154,5,0.09865645209923005,0.6452494101476708,0.08273047378145532,16
155,1,0.34855843200879144,0.7879924107002098,0.5506854268069512,16
156,2,0.1248510877881063,0.7079012553271666,0.37488550892223205,16
157,3,0.058490269853348556,0.6748641921956655,0.0848725900903065,16
158,4,0.06061001580194747,0.6987362725570309,0.10798510069280579,16
159,5,0.13953571310729815,0.6311707689530295,0.07702544599768606,16
160,1,0.3707763500865706,0.8139256583811398,0.5838854469074168,16
161,2,0.12104494720262017,0.7314478475634514,0.4350674662190325,16
162,3,0.09551107636040858,0.6863628752126995,0.020747439849150895,16
163,4,0.02242573163368681,0.6428332446410758,0.18302449229851037,16
164,5,0.13561583240070574,0.6609345155881932,0.05115278046360195,16
165,1,0.33273836157707276,0.8348326637403208,0.5577743052926961,16
166,2,0.13153951076747877,0.7494251052170523,0.4483071728397331,16
167,3,-0.006554764394607277,0.7002223734743906,0.09175788049578894,16
168,4,-0.016733147659056063,0.6330663124098869,0.18599929840335902,16
169,5,0.07114053551628644,0.6349843422077651,0.07175234923833777,16
170,1,0.31318348846480104,0.794636180409584,0.4453698611855017,16
171,2,0.1571326755248755,0.7277944009892805,0.40101000580230806,16
172,3,0.031134306368877412,0.7179122580320317,0.013100728661212003,16
173,4,0.08566694759413286,0.6508400853506451,0.14040941788033465,16
174,5,0.07559406553249733,0.661933722738422,0.040562328578446175,16
175,1,0.21811217179487413,0.5593772535114914,0.16136999161884097,6
176,2,0.11881884798390632,0.45614701593721085,0.12703332126933248,6
177,3,0.16949284643758805,0.4592084624165503,0.08256430933804784,6
178,4,0.1319292103754296,0.4673231865666144,0.1928609549941847,6
179,5,-0.031782795764851074,0.5098339697824391,0.19765552876148476,6
180,1,0.26058281408107636,0.6436322777063751,0.08233023278924388,6
181,2,0.14506816770109804,0.5784314005020851,0.10471778286738744,6
182,3,0.06584978211381176,0.5895599811978838,0.03497482212639831,6
183,4,0.10410239067284854,0.5550457070152726,0.037841517721057365,6
184,5,-0.014927307798331006,0.5698348131992762,0.09420312095644884,6
185,1,0.27640092023938345,0.7795970201496284,0.23078424761342467,2
186,2,0.016697035793415756,0.6038461862565293,0.3031965326930987,2
187,3,0.10604380948977032,0.7085553926978708,0.10972422293485813,2
188,4,0.10942882359185392,0.6382769226121051,0.39589596399581134,2
189,5,0.021298192178495046,0.6042410969659618,0.08067676951343002,2
190,1,0.24465244112898266,0.7688167726624877,0.2962914426392371,2
191,2,0.04643841380651229,0.6001124464364294,0.13923039134781387,2
192,3,0.10870989203452397,0.656502035449578,0.11943604266392875,2
193,4,0.09509658147506417,0.6459454955197776,0.4215155503815023,2
