,rand_layer,pearson,ssim,spearman,action
0,1,0.5458694024773563,0.9078141566062534,0.9134955416745584,5
1,2,0.2611947811591201,0.33328833529896024,0.8414299925862917,5
2,3,0.2228236027230176,0.22022925300609766,0.7278871997024143,5
3,4,0.1873426890214831,0.27613580685599304,0.7358424773724729,5
4,5,0.20437319682086344,0.2823430651879377,0.6818500957679995,5
5,1,0.5307780661397328,0.9049024464860297,0.9162073169262442,5
6,2,0.2536854172049373,0.33249592665867034,0.8439722110519717,5
7,3,0.23533870136231333,0.22216809158832987,0.7259818813881248,5
8,4,0.18990652674608233,0.27808559684421863,0.7395624511608753,5
9,5,0.21458910524456548,0.2848233871105589,0.6832045329837843,5
10,1,0.5298089892006178,0.9040730199813024,0.9161364488515635,5
11,2,0.2567433000847995,0.33142522027597004,0.8444238030522497,5
12,3,0.2313359545795302,0.2242998017707947,0.7251888831803227,5
13,4,0.1887323787800873,0.27808521443652345,0.7397094331660109,5
14,5,0.21323323447279174,0.28744494723828484,0.685377603322209,5
15,1,0.5330696121694788,0.9064303098556235,0.9127154642409866,5
16,2,0.25889514063415775,0.33074270291497676,0.8423010152487009,5
17,3,0.23053211593057332,0.21819085948434805,0.7287728817468204,5
18,4,0.18836328946231873,0.2764995095088487,0.7354866200014175,5
19,5,0.21172255703048734,0.28613806860102914,0.6840340023287953,5
20,1,0.5323351646427487,0.9066031985457578,0.9123131370840233,5
21,2,0.26096519177638766,0.32980624185942403,0.8421984653470285,5
22,3,0.2271639289310089,0.2163672626027278,0.7289473957885573,5
23,4,0.18664947131933216,0.27551849831925035,0.7347935638697343,5
24,5,0.2083934881762069,0.28532957959067934,0.6824612316518957,5
25,1,0.5280662667334513,0.9044852634847146,0.9162728574803068,5
26,2,0.26169752572967264,0.33089434539977475,0.843820871636124,5
27,3,0.23701832503138115,0.22352714781386818,0.7287369931667944,5
28,4,0.18599428894801578,0.28011448715040266,0.7389330679472367,5
29,5,0.20977557295894383,0.28939779819262584,0.6858641273261826,5
30,1,0.5249752688183229,0.9039234755223534,0.9158942205145686,5
31,2,0.265256510600744,0.32966596563416656,0.8436943763584991,5
32,3,0.23334466485967964,0.22329850500931078,0.7267905792343751,5
33,4,0.18155005374675046,0.27954225916302194,0.7391747583551408,5
34,5,0.20736853558841017,0.28969874767878184,0.6867325675400122,5
35,1,0.5250536957330498,0.9044840749295174,0.9143266219301616,5
36,2,0.2650478879342698,0.32918218455814974,0.843497436768817,5
37,3,0.2245808515902809,0.22172051901281592,0.7271413638389557,5
38,4,0.18842060306075928,0.27979496108754687,0.7404364416217499,5
39,5,0.20647686867616497,0.2894366853498829,0.6869513043856719,5
40,1,0.5328285935204004,0.9044924076908107,0.9147264363725053,5
